city,street,house_number,zip5,zip7
אשדוד,הלל,00009,77651,7765137
מגדל העמק,שומרון,00010,23014,2301455
ראשון לציון,הרצל,00095,75262,7526204
קריית ים,המעפילים,00001,29046,2904601
שוהם,שקמה,00002,60850,6082196
תל אביב - יפו,"לח""י",00086,67654,6765491
חולון,ההסתדרות,00209,58829,5882906
חיפה,הקבוצים,00058,26255,2625505
קריית טבעון,גולומב,00041,36022,3602263
קריית גת,שד גת,00038,82082,8208226
קריית ביאליק,יוספטל גיורא,00007,27081,2708114
בית שאן,?,00001,11726,1172601
נתניה,יוספטל,00000,42395,4239500
בית שמש,אשר,00013,99546,9954613
בת ים,הרב לוי,00012,59647,5964716
עפולה,שדה יצחק,00095,18520,1852085
פרדס חנה-כרכור,לוטם,00006,37157,3715734
תל אביב - יפו,הצבי,00014,67197,6719713
בית שאן,"חטיבת הנח""ל",00003,11804,1180411
פרדס חנה-כרכור,אבוקה,00013,37019,3701958
גבעתיים,השומר,00003,53221,5322114
נתניה,האומנות,00020,42504,4250449
תל אביב - יפו,קהילת לודג',00003,69709,6970915
אופקים,קארו יוסף,00004,87569,8756954
תל אביב - יפו,הרב פרידמן,00037,62303,6230337
חולון,"י""א באדר",00019,58314,5831413
רחובות,?,00000,76432,7643200
נצרת,רח 7054,00020,16507,1651855
נתניה,הרצל,00038,42392,4239210
תל אביב - יפו,סמ נס ציונה,00004,63324,6332003
בני ברק,הרב זיטניצקי,00005,51432,5143205
חדרה,"רמח""ל",00046,38571,3857145
אשדוד,הנביא מיכה,00004,77460,7746030
חיפה,דרך הים,00013,34631,3463107
רעננה,דולב,00010,43662,4366210
ירושלים,אל בדריה,00016,97028,9702805
חדרה,הלוי,00017,38491,3849145
קריית אונו,אשכול לוי,00129,55400,5540032
ירושלים,מן,00007,93711,9371142
מעלות-תרשיחא,מעלה המדרגות,00007,21550,2155251
גני תקווה,הרימון,00031,55900,5592232
ירושלים,אל בדריה,00020,97028,9702809
ירושלים,מזרחי יוסף,00005,95203,9520305
פתח תקווה,חפץ חיים,00043,49350,4935048
ירושלים,גדוד החמישי,00018,97533,9753315
אשדוד,המגיד,00001,77625,7762518
הרצליה,מובשוביץ בנימין,00015,46405,4640515
רמת גן,לאן,00014,52492,5249218
יבנה,האלון,00015,81543,8154384
גבעת זאב,מצפה,00005,90917,9064603
ירושלים,האורן,00009,95743,9574309
מעלה אדומים,העשור,00032,98360,9836026
ראש העין,תבור,00013,48561,4856768
תל אביב - יפו,הדואר,00008,68029,6802937
קריית גת,"שד צה""ל",00000,82201,8220100
נתניה,שלמה המלך,00014,42268,4226807
באר שבע,אהרליך פאול,00007,84831,8482202
באר שבע,דרך שמשון,00016,84472,8447205
ראשון לציון,נחמיה,00053,75523,7552301
תל אביב - יפו,בני משה,00008,62308,6230811
פרדס חנה-כרכור,קנאים,00019,37066,3706032
אשקלון,איגר עקיבא,00007,78277,7827709
חיפה,זולא אמיל,00009,35431,3543105
ראשון לציון,העוגן,00026,75439,7540746
ירושלים,בן ציון,00015,95423,9542321
צפת,שפרינצק,00141,13351,1335136
אור יהודה,שפרינצק,00011,60262,6026234
ירושלים,סנונית,00019,93854,9385413
בת ים,ירושלים,00057,59403,5940317
ירושלים,אל קמר סמ6,00002,97163,9716395
עפולה,כחלית,00001,18585,1858509
ירושלים,?,00010,96185,9618510
עפולה,ההגנה,00033,18580,1858033
צפת,יוספטל,00008,13229,1321277
נשר,הנוריות,00017,36790,3679017
תל אביב - יפו,התקוה,00019,67121,6712130
חדרה,האשל,00048,38497,3849748
תל אביב - יפו,נוה צדק,00013,65154,6515432
באר שבע,אלקלעי יהודה,00000,84245,8424500
תל אביב - יפו,יאיר,00031,67758,6775855
ירושלים,הרב יוסף קאפח,00007,94549,9454911
בנימינה,דרך העצמאות,00071,30500,3050422
גן יבנה,הברוש,00002,70800,0000000
ראש העין,דקר,00065,48025,4802591
נס ציונה,הבנים,00086,74026,7402627
רמת גן,השר משה,00012,52303,5230326
ראשון לציון,ארנון משה,00005,75604,7560432
ירושלים,רבי עקיבא,00006,94582,9458206
קריית אתא,ברדיצ'בסקי,00006,28032,2803260
תל מונד,אורנית,00020,40600,4060620
חיפה,"שימקין ד""ר",00027,34750,3475042
תל אביב - יפו,הצפירה,00012,67779,6777912
אור יהודה,העצמאות,00021,60266,6026603
תל אביב - יפו,חכמי דוד,00003,67778,6777803
פרדס חנה-כרכור,?,00008,37020,3702047
קריית גת,שד העצמאות,00120,82016,8201627
רעננה,השריון,00013,43266,4326613
ירושלים,מזל אריה,00003,97831,9783107
ירושלים,שטרן אברהם,00057,96750,9675040
אזור,הבנים,00054,58015,5801582
ירושלים,שמואל הנביא,00004,97253,9725315
תל מונד,השחף,00040,40600,4061540
רמת גן,מנדס,00038,52653,5265338
עפולה,החוחית,00036,18750,1875027
גן יבנה,?,00009,70800,7086964
מודיעין-מכבים-רעות,נפתלי,00013,71724,7177404
באר שבע,מורדי הגטאות,00111,84207,8420756
חולון,ברקן,00008,58210,5821024
פתח תקווה,שבט יששכר,00023,49300,4901426
ירוחם,?,00043,80500,8051725
שדרות,שד בגין מנחם,00021,87048,8704806
נתניה,שפירא משה,00040,42240,4224040
ירושלים,אל ואד,00102,97500,9750615
אשדוד,פתח תקווה,00008,77643,7765769
תל אביב - יפו,בובליק,00013,62004,6200413
קריית גת,הרימון,00050,82014,8201444
מודיעין-מכבים-רעות,הר יודפת מכבים רעות,00565,71799,7179901
תל אביב - יפו,כיסופים,00021,69355,6935532
בית שמש,רבי ינאי,00018,99084,9908435
קריית אתא,רמז,00016,28086,2808618
תל אביב - יפו,יורם,00002,67122,6712248
רמת ישי,?,00017,30095,3005227
רחובות,?,00042,76226,7622630
כפר סבא,שלמה המלך,00017,44429,4442936
קיסריה,?,00008,30889,3097608
ירושלים,ביר איוב,00006,97912,9791206
קריית אתא,הארי השואג,00036,28049,2804955
ירושלים,?,00013,92300,9230013
רמת השרון,סמ דליה,00027,47242,4724254
פרדס חנה-כרכור,צפניה,00004,37144,3714417
מגדל העמק,?,00008,23501,2350103
גדרה,לוע הארי,00044,70700,7053920
באר יעקב,ז'בוטינסקי,00036,70300,7030336
הרצליה,בלפור,00007,46592,4659240
תל אביב - יפו,ליוויק,00012,66832,6683238
רעננה,פטריה,00262,43512,4351237
חולון,ההסתדרות,00147,58820,5882013
גדרה,?,00006,70700,7053308
נתניה,שד צרפת,00014,42221,4222164
פתח תקווה,עין גדי,00041,49256,4925641
רמת גן,?,00007,52512,5251207
קריית אתא,סולד הנריטה,00021,28052,2805263
תל מונד,הרעות,00003,40600,4062333
כפר יונה,?,00016,40300,4031463
כפר סבא,גולומב,00011,44357,4435711
באר שבע,שד יעלים,00044,84739,8473918
הוד השרון,דרך כפר הדר,00070,45263,4502024
בת ים,הגבעות,00006,59546,5954611
נהרייה,האורן,00007,22301,2230107
הוד השרון,דפנה,00005,45284,4501729
מודיעין-מכבים-רעות,נחל בצת,00021,71701,7174224
נתניה,פרומקין,00017,42287,4228714
רחובות,קלסדי דוד,00012,76658,7665814
הוד השרון,שלמה המלך,00008,45381,4538122
ירושלים,?,00013,96421,9642113
ירושלים,צפרירים,00013,97730,9773014
מגדל העמק,האלומות,00020,23070,2307001
רעננה,דורי יעקב,00008,43398,4339825
תל אביב - יפו,דורון,00007,67755,6775545
ירושלים,בית חנינא החדשה,00109,97300,9730323
כפר סבא,לופבן,00000,44319,4431900
פתח תקווה,רוטשילד,00118,49333,4933354
חדרה,אחד העם,00024,38203,3820377
קריית מוצקין,"רנ""ס",00015,26317,2631717
בני ברק,שמעיה,00036,51327,5132711
ראשון לציון,מעוז חיים,00003,75288,7528873
אילת,סמ דישונים,00001,88551,8855145
אשדוד,אפרתי אליהו,00005,77558,7755807
כפר סבא,הרצל,00032,44444,4444437
נהרייה,אחד העם,00030,22443,2244329
תל אביב - יפו,עבודת ישראל,00012,68088,6808811
מודיעין-מכבים-רעות,פלח הרימון,00005,71706,7173637
זכרון יעקב,הפנינה,00043,30900,3094064
אשדוד,הנביא עמוס,00001,77466,7746613
חיפה,גרינבוים יצחק,00066,34987,3491043
חיפה,"כספרי ד""ר",00003,34673,3467316
מודיעין-מכבים-רעות,הנביאים,00019,71722,7172281
אשקלון,משכית,00006,78488,7848827
נתיבות,תמר,00030,87780,8778052
ראש העין,כרמל,00019,48560,4856580
רחובות,שקולניק אהרן,00003,76209,7620968
עכו,הדגנית,00000,24533,2453300
טבריה,"האר""י",00010,14250,1425010
חיפה,סלומון יעקב,00024,32589,3258909
פתח תקווה,ההדס,00010,49321,4932110
אשדוד,יורדי הסירה,00001,77305,7730510
קריית אתא,סמ עין התכלת,00004,28085,2808503
גבעתיים,המאבק,00086,53521,5352126
בית שמש,נחל רזיאל,00001,99632,9963216
אור יהודה,דגניה,00010,60306,6030610
מעלה אדומים,התוף,00017,98330,9833087
תל אביב - יפו,גרוסמן חייקה,00000,68032,6803200
נתניה,שמורת נחל שניר,00003,42078,4207821
ירושלים,?,00018,97158,9715838
תל אביב - יפו,יהודה הנשיא,00000,69391,6939100
קצרין,ארז,00010,12900,1294632
הוד השרון,סנש חנה,00010,45264,4526491
תל אביב - יפו,טרפון,00043,67758,6771182
חיפה,הגדוד העברי,00050,26305,2630520
מודיעין-מכבים-רעות,נחל נעמן,00006,71704,7174969
